CICLO,Plaqueta,Cobertura,Ocorreram_impacto,ponto_amostral,ponto_metro,X,nativa,seca_morta
2023,1113,Campestre,Não,1,0,serrapilheira,NA,NA
2023,1113,Campestre,Não,1,0,nativa,graminoide,NA
2023,1113,Campestre,Não,2,0.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,2,0.5,nativa,graminoide,NA
2023,1113,Campestre,Não,3,1,serrapilheira,NA,NA
2023,1113,Campestre,Não,3,1,nativa,graminoide,NA
2023,1113,Campestre,Não,4,1.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,4,1.5,nativa,graminoide,NA
2023,1113,Campestre,Não,5,2,serrapilheira,NA,NA
2023,1113,Campestre,Não,5,2,nativa,graminoide,NA
2023,1113,Campestre,Não,6,2.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,6,2.5,nativa,graminoide,NA
2023,1113,Campestre,Não,7,3,serrapilheira,NA,NA
2023,1113,Campestre,Não,7,3,nativa,graminoide,NA
2023,1113,Campestre,Não,8,3.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,8,3.5,nativa,graminoide,NA
2023,1113,Campestre,Não,9,4,serrapilheira,NA,NA
2023,1113,Campestre,Não,9,4,nativa,graminoide,NA
2023,1113,Campestre,Não,10,4.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,10,4.5,nativa,graminoide,NA
2023,1113,Campestre,Não,11,5,serrapilheira,NA,NA
2023,1113,Campestre,Não,11,5,nativa,graminoide,NA
2023,1113,Campestre,Não,12,5.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,12,5.5,nativa,graminoide,NA
2023,1113,Campestre,Não,13,6,serrapilheira,NA,NA
2023,1113,Campestre,Não,13,6,nativa,graminoide,NA
2023,1113,Campestre,Não,14,6.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,14,6.5,nativa,graminoide,NA
2023,1113,Campestre,Não,15,7,serrapilheira,NA,NA
2023,1113,Campestre,Não,15,7,nativa,graminoide,NA
2023,1113,Campestre,Não,16,7.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,16,7.5,nativa,graminoide,NA
2023,1113,Campestre,Não,17,8,serrapilheira,NA,NA
2023,1113,Campestre,Não,17,8,nativa,graminoide,NA
2023,1113,Campestre,Não,18,8.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,18,8.5,nativa,graminoide,NA
2023,1113,Campestre,Não,19,9,serrapilheira,NA,NA
2023,1113,Campestre,Não,19,9,nativa,graminoide,NA
2023,1113,Campestre,Não,20,9.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,20,9.5,nativa,graminoide,NA
2023,1113,Campestre,Não,21,10,serrapilheira,NA,NA
2023,1113,Campestre,Não,21,10,nativa,graminoide,NA
2023,1113,Campestre,Não,22,10.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,22,10.5,nativa,graminoide,NA
2023,1113,Campestre,Não,23,11,serrapilheira,NA,NA
2023,1113,Campestre,Não,23,11,nativa,graminoide,NA
2023,1113,Campestre,Não,24,11.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,24,11.5,nativa,graminoide,NA
2023,1113,Campestre,Não,25,12,serrapilheira,NA,NA
2023,1113,Campestre,Não,25,12,nativa,graminoide,NA
2023,1113,Campestre,Não,26,12.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,26,12.5,nativa,graminoide,NA
2023,1113,Campestre,Não,27,13,serrapilheira,NA,NA
2023,1113,Campestre,Não,27,13,nativa,graminoide,NA
2023,1113,Campestre,Não,28,13.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,28,13.5,nativa,graminoide,NA
2023,1113,Campestre,Não,29,14,serrapilheira,NA,NA
2023,1113,Campestre,Não,29,14,nativa,graminoide,NA
2023,1113,Campestre,Não,30,14.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,30,14.5,nativa,graminoide,NA
2023,1113,Campestre,Não,31,15,serrapilheira,NA,NA
2023,1113,Campestre,Não,31,15,nativa,graminoide,NA
2023,1113,Campestre,Não,32,15.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,32,15.5,nativa,graminoide,NA
2023,1113,Campestre,Não,33,16,serrapilheira,NA,NA
2023,1113,Campestre,Não,33,16,nativa,graminoide,NA
2023,1113,Campestre,Não,34,16.5,serrapilheira,NA,NA
2023,1113,Campestre,Não,34,16.5,nativa,graminoide,NA
